python train.py --epochs 300
--- Training miap_max_ranking_L3_H129 on cuda ---
Loading dataset_train into memory...
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 4427/4427 [00:06<00:00, 642.59it/s]
Loading dataset_val into memory...
100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 886/886 [00:01<00:00, 832.15it/s]
/home/schterben/miniconda3/envs/miap_gasse/lib/python3.10/site-packages/torch_geometric/utils/_scatter.py:91: UserWarning: The usage of `scatter(reduce='max')` can be accelerated via the 'torch-scatter' package, but it was not found
  warnings.warn(
Ep 73 | T_Loss: 0.0608 T_Acc@1: 0.1411 T_Acc@5: 0.5375 | V_Loss: 0.0641 V_Acc@1: 0.1298 V_Acc@5: 0.5038 | LR: 1.0e-03
Ep 74 | T_Loss: 0.0602 T_Acc@1: 0.1487 T_Acc@5: 0.5461 | V_Loss: 0.0625 V_Acc@1: 0.1307 V_Acc@5: 0.5214 | LR: 1.0e-03
Ep 75 | T_Loss: 0.0597 T_Acc@1: 0.1471 T_Acc@5: 0.5411 | V_Loss: 0.0637 V_Acc@1: 0.1267 V_Acc@5: 0.5140 | LR: 1.0e-03
Ep 76 | T_Loss: 0.0603 T_Acc@1: 0.1430 T_Acc@5: 0.5411 | V_Loss: 0.0626 V_Acc@1: 0.1324 V_Acc@5: 0.5201 | LR: 1.0e-03
Ep 77 | T_Loss: 0.0595 T_Acc@1: 0.1494 T_Acc@5: 0.5517 | V_Loss: 0.0640 V_Acc@1: 0.1309 V_Acc@5: 0.4987 | LR: 1.0e-03
Ep 78 | T_Loss: 0.0602 T_Acc@1: 0.1401 T_Acc@5: 0.5415 | V_Loss: 0.0624 V_Acc@1: 0.1233 V_Acc@5: 0.5317 | LR: 1.0e-03
Ep 79 | T_Loss: 0.0592 T_Acc@1: 0.1588 T_Acc@5: 0.5486 | V_Loss: 0.0628 V_Acc@1: 0.1296 V_Acc@5: 0.5218 | LR: 1.0e-03
Ep 80 | T_Loss: 0.0582 T_Acc@1: 0.1557 T_Acc@5: 0.5541 | V_Loss: 0.0630 V_Acc@1: 0.1280 V_Acc@5: 0.5259 | LR: 1.0e-03
Ep 81 | T_Loss: 0.0587 T_Acc@1: 0.1482 T_Acc@5: 0.5518 | V_Loss: 0.0626 V_Acc@1: 0.1240 V_Acc@5: 0.5283 | LR: 1.0e-03
Ep 82 | T_Loss: 0.0585 T_Acc@1: 0.1525 T_Acc@5: 0.5609 | V_Loss: 0.0641 V_Acc@1: 0.1289 V_Acc@5: 0.5145 | LR: 1.0e-03
Ep 83 | T_Loss: 0.0580 T_Acc@1: 0.1649 T_Acc@5: 0.5617 | V_Loss: 0.0636 V_Acc@1: 0.1361 V_Acc@5: 0.5149 | LR: 1.0e-03
Ep 84 | T_Loss: 0.0584 T_Acc@1: 0.1544 T_Acc@5: 0.5489 | V_Loss: 0.0630 V_Acc@1: 0.1400 V_Acc@5: 0.5239 | LR: 1.0e-03
Ep 85 | T_Loss: 0.0577 T_Acc@1: 0.1581 T_Acc@5: 0.5631 | V_Loss: 0.0636 V_Acc@1: 0.1519 V_Acc@5: 0.5248 | LR: 1.0e-03
Ep 86 | T_Loss: 0.0575 T_Acc@1: 0.1562 T_Acc@5: 0.5658 | V_Loss: 0.0636 V_Acc@1: 0.1314 V_Acc@5: 0.5230 | LR: 1.0e-03
Ep 87 | T_Loss: 0.0579 T_Acc@1: 0.1511 T_Acc@5: 0.5595 | V_Loss: 0.0639 V_Acc@1: 0.1350 V_Acc@5: 0.5003 | LR: 1.0e-03
Ep 88 | T_Loss: 0.0565 T_Acc@1: 0.1630 T_Acc@5: 0.5745 | V_Loss: 0.0618 V_Acc@1: 0.1361 V_Acc@5: 0.5388 | LR: 1.0e-03
Ep 89 | T_Loss: 0.0565 T_Acc@1: 0.1609 T_Acc@5: 0.5730 | V_Loss: 0.0632 V_Acc@1: 0.1321 V_Acc@5: 0.5303 | LR: 1.0e-03
Ep 90 | T_Loss: 0.0559 T_Acc@1: 0.1626 T_Acc@5: 0.5758 | V_Loss: 0.0620 V_Acc@1: 0.1350 V_Acc@5: 0.5337 | LR: 1.0e-03
Ep 91 | T_Loss: 0.0557 T_Acc@1: 0.1702 T_Acc@5: 0.5811 | V_Loss: 0.0633 V_Acc@1: 0.1281 V_Acc@5: 0.5243 | LR: 1.0e-03
Ep 92 | T_Loss: 0.0557 T_Acc@1: 0.1603 T_Acc@5: 0.5735 | V_Loss: 0.0631 V_Acc@1: 0.1336 V_Acc@5: 0.5232 | LR: 1.0e-03
Ep 93 | T_Loss: 0.0553 T_Acc@1: 0.1701 T_Acc@5: 0.5860 | V_Loss: 0.0641 V_Acc@1: 0.1385 V_Acc@5: 0.5252 | LR: 1.0e-03
Ep 94 | T_Loss: 0.0553 T_Acc@1: 0.1651 T_Acc@5: 0.5765 | V_Loss: 0.0634 V_Acc@1: 0.1343 V_Acc@5: 0.5009 | LR: 1.0e-03
Ep 95 | T_Loss: 0.0547 T_Acc@1: 0.1673 T_Acc@5: 0.5859 | V_Loss: 0.0647 V_Acc@1: 0.1271 V_Acc@5: 0.5346 | LR: 1.0e-03
Ep 96 | T_Loss: 0.0542 T_Acc@1: 0.1685 T_Acc@5: 0.5925 | V_Loss: 0.0629 V_Acc@1: 0.1307 V_Acc@5: 0.5323 | LR: 1.0e-03
Ep 97 | T_Loss: 0.0541 T_Acc@1: 0.1663 T_Acc@5: 0.5867 | V_Loss: 0.0655 V_Acc@1: 0.1352 V_Acc@5: 0.5263 | LR: 1.0e-03
Ep 98 | T_Loss: 0.0535 T_Acc@1: 0.1779 T_Acc@5: 0.6026 | V_Loss: 0.0675 V_Acc@1: 0.1303 V_Acc@5: 0.5264 | LR: 1.0e-03
Ep 99 | T_Loss: 0.0534 T_Acc@1: 0.1785 T_Acc@5: 0.5929 | V_Loss: 0.0646 V_Acc@1: 0.1249 V_Acc@5: 0.5402 | LR: 1.0e-03
Ep 100 | T_Loss: 0.0526 T_Acc@1: 0.1772 T_Acc@5: 0.6057 | V_Loss: 0.0645 V_Acc@1: 0.1405 V_Acc@5: 0.5409 | LR: 1.0e-03
Ep 101 | T_Loss: 0.0529 T_Acc@1: 0.1778 T_Acc@5: 0.5978 | V_Loss: 0.0644 V_Acc@1: 0.1352 V_Acc@5: 0.5243 | LR: 1.0e-03
Ep 102 | T_Loss: 0.0520 T_Acc@1: 0.1875 T_Acc@5: 0.6019 | V_Loss: 0.0659 V_Acc@1: 0.1320 V_Acc@5: 0.5297 | LR: 1.0e-03
Ep 103 | T_Loss: 0.0521 T_Acc@1: 0.1871 T_Acc@5: 0.6027 | V_Loss: 0.0651 V_Acc@1: 0.1555 V_Acc@5: 0.5229 | LR: 1.0e-03
Ep 104 | T_Loss: 0.0516 T_Acc@1: 0.1792 T_Acc@5: 0.6057 | V_Loss: 0.0635 V_Acc@1: 0.1320 V_Acc@5: 0.5413 | LR: 1.0e-03
Ep 105 | T_Loss: 0.0510 T_Acc@1: 0.1832 T_Acc@5: 0.6102 | V_Loss: 0.0661 V_Acc@1: 0.1419 V_Acc@5: 0.5337 | LR: 1.0e-03
Ep 106 | T_Loss: 0.0500 T_Acc@1: 0.1861 T_Acc@5: 0.6207 | V_Loss: 0.0639 V_Acc@1: 0.1417 V_Acc@5: 0.5549 | LR: 1.0e-03
Ep 107 | T_Loss: 0.0496 T_Acc@1: 0.1901 T_Acc@5: 0.6278 | V_Loss: 0.0620 V_Acc@1: 0.1361 V_Acc@5: 0.5404 | LR: 1.0e-03
Ep 108 | T_Loss: 0.0498 T_Acc@1: 0.1989 T_Acc@5: 0.6179 | V_Loss: 0.0651 V_Acc@1: 0.1430 V_Acc@5: 0.5510 | LR: 1.0e-03
Ep 109 | T_Loss: 0.0487 T_Acc@1: 0.1990 T_Acc@5: 0.6349 | V_Loss: 0.0679 V_Acc@1: 0.1456 V_Acc@5: 0.5352 | LR: 1.0e-03
Ep 110 | T_Loss: 0.0481 T_Acc@1: 0.2131 T_Acc@5: 0.6316 | V_Loss: 0.0664 V_Acc@1: 0.1370 V_Acc@5: 0.5248 | LR: 1.0e-03
Ep 111 | T_Loss: 0.0488 T_Acc@1: 0.1968 T_Acc@5: 0.6293 | V_Loss: 0.0669 V_Acc@1: 0.1551 V_Acc@5: 0.5363 | LR: 1.0e-03
Ep 112 | T_Loss: 0.0480 T_Acc@1: 0.2024 T_Acc@5: 0.6381 | V_Loss: 0.0663 V_Acc@1: 0.1325 V_Acc@5: 0.5100 | LR: 1.0e-03
